FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR124,C2,M,3,100,S,7,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,52,1.81,-0.127259593
LR125,C2,F,2,50,L,7,0.044475,0.001978026,0.00975,9.51E-05,0.397613048,0.135317479,-0.053617268,-0.292090302,NA,NA,NA
LR126,C2,M,4,50,S,7,0.02656,0.000705434,0.00312,9.73E-06,-0.574541012,-0.539799749,-0.965855636,-0.763051464,42,1,-0.485165844
LR127,C2,F,4,50,S,7,0.02988,0.000892814,0.00351,1.23E-05,-0.344479767,-0.457349373,-0.8475423,-0.636627756,54,1.98,-0.07909038
LR128,C2,F,2,50,L,7,0.044475,0.001978026,0.00975,9.51E-05,0.397613048,0.135317479,-0.053617268,-0.292090302,NA,NA,NA
LR129,C3,M,3,100,L,7,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,NA,NA,NA
LR130,C3,M,2,75,L,7,0.0917964,0.008426579,0.020124,0.000404975,2.238743891,2.389700809,1.17320764,1.010721848,57,3.5,0.430977986
LR131,C3,F,5,75,L,7,0.0329056,0.001082779,0.0202496,0.000410046,-0.190641054,-0.353603783,1.282263384,1.019493761,59,2.66,0.118527374
LR132,C3,M,2,75,L,7,0.0917964,0.008426579,0.020124,0.000404975,2.238743891,2.389700809,1.17320764,1.010721848,53.5,2.58,0.195856109
LR133,C3,M,1,100,S,7,0.0405,0.00164025,0.00396,1.57E-05,0.026614042,-0.185118676,-0.860185609,-0.736361431,NA,NA,NA
LR134,C3,F,1,100,L,7,0.07902,0.00624416,0.0077264,5.97E-05,2.154077337,2.465181325,-0.311083084,-0.439350183,NA,NA,NA
LR135,C3,M,4,100,S,7,0.05312,0.002821734,0.00624,3.89E-05,0.570844801,0.263151371,-0.573366962,-0.631992416,44,1.06,-0.478175483
LR136,C3,M,5,100,L,7,0.04368,0.001907942,0.02688,0.000722534,0.163749843,-0.083552929,2.023096577,2.43587321,54,2.53,0.166032078
LR137,C3,M,3,100,S,7,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,49.5,1.53,-0.241007719
LR138,C3,F,4,100,L,7,0.07304,0.005334842,0.00858,7.36E-05,1.850020123,1.968575468,-0.202478211,-0.38139137,NA,NA,NA
LR139,C1,M,4,75,L,7,0.0450192,0.002026728,0.0052884,2.80E-05,0.221502128,-0.03848401,-0.693076008,-0.681225725,47.5,1.6,-0.150810124
LR140,C1,M,2,50,L,7,0.0609604,0.00371617,0.013364,0.000178596,0.908957863,0.602511759,0.322815511,-0.005229015,50,2.16,0.092754383
LR141,C1,M,2,50,S,7,0.05337,0.002848357,0.0117,0.00013689,0.581625917,0.273252476,0.113488218,-0.192398526,47.5,1.81,-0.027486908
LR142,C1,F,1,75,L,7,0.05949,0.00353906,0.0058168,3.38E-05,1.161061052,0.987845008,-0.554044501,-0.547039373,NA,NA,NA
LR143,C1,M,1,100,L,7,0.0675,0.00455625,0.0066,4.36E-05,1.19097462,0.92124879,-0.528079807,-0.611247863,NA,NA,NA
LR144,C1,F,3,100,S,7,0.07224,0.005218618,0.0287,0.00082369,1.809343573,1.905102052,2.357421091,2.741897881,59.5,2.38,-0.002000342
LR145,C1,F,2,100,S,7,0.07116,0.005063746,0.0156,0.00024336,1.75443023,1.820521804,0.69068745,0.325417084,NA,NA,NA
LR146,C1,F,3,100,S,7,0.07224,0.005218618,0.0287,0.00082369,1.809343573,1.905102052,2.357421091,2.741897881,NA,NA,NA
LR147,C2,M,1,100,S,7,0.0405,0.00164025,0.00396,1.57E-05,0.026614042,-0.185118676,-0.860185609,-0.736361431,NA,NA,NA
LR148,C2,M,5,75,S,7,0.0246792,0.000609063,0.0151872,0.000230651,-0.655649507,-0.576364132,0.552169791,0.228385067,52.5,2.18,0.048190128
LR149,C2,F,3,100,L,7,0.0903,0.00815409,0.035875,0.001287016,2.727616697,3.508251434,3.270307646,4.671176708,62,2.89,0.146787541
LR150,C2,M,2,50,S,7,0.05337,0.002848357,0.0117,0.00013689,0.581625917,0.273252476,0.113488218,-0.192398526,NA,NA,NA
LR151,C2,F,4,50,S,7,0.02988,0.000892814,0.00351,1.23E-05,-0.344479767,-0.457349373,-0.8475423,-0.636627756,52,1.83,-0.116270472
LR152,C2,F,5,100,S,7,0.03276,0.001073218,0.02016,0.000406426,-0.198044186,-0.358825332,1.270863435,1.004420164,64,2.93,0.125537189
LR153,C2,F,1,50,S,7,0.02025,0.000410063,0.00198,3.92E-06,-0.834123742,-0.720994186,-1.042206611,-0.671603914,52.5,1.69,-0.20640622
LR154,C2,M,1,50,S,7,0.02025,0.000410063,0.00198,3.92E-06,-0.846656391,-0.651867261,-1.10926496,-0.789143718,NA,NA,NA
LR155,C3,F,3,75,L,7,0.068026,0.004627537,0.027025833,0.000730396,1.595079844,1.582294974,2.144414185,2.353423807,NA,NA,NA
LR156,C3,F,1,75,S,7,0.03051,0.00093086,0.0029832,8.90E-06,-0.312446984,-0.43657131,-0.914567894,-0.650871139,NA,NA,NA
LR157,C3,M,5,75,L,7,0.0329056,0.001082779,0.0202496,0.000410046,-0.300890401,-0.39663026,1.189007825,1.033479643,48,1.55,-0.194101231
LR158,C3,M,2,50,S,7,0.05337,0.002848357,0.0117,0.00013689,0.581625917,0.273252476,0.113488218,-0.192398526,49,2.32,0.186482589
LR159,C3,F,3,100,L,7,0.0903,0.00815409,0.035875,0.001287016,2.727616697,3.508251434,3.270307646,4.671176708,58,2.66,0.137370397
LR160,C3,F,3,100,S,7,0.07224,0.005218618,0.0287,0.00082369,1.809343573,1.905102052,2.357421091,2.741897881,57,2.55,0.114308377
