FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR083,B3,F,5,100,L,4,0.04368,0.001907942,0.02688,0.000722534,0.354784005,0.095253559,2.121598519,2.316397222,55.5,2.07,-0.118626626
LR084,B3,F,2,50,S,4,0.024029776,0.00057743,0.00526791,2.78E-05,-0.644507177,-0.632026576,-0.624696251,-0.573246412,56,2.51,0.047433529
LR085,B1,F,3,75,L,4,0.045823881,0.002099828,0.018205224,0.00033143,0.463808787,0.20014166,1.019276071,0.689657802,60,3.22,0.091338367
LR086,B1,F,2,50,L,4,0.025224627,0.000636282,0.005529851,3.06E-05,-0.583744304,-0.599857087,-0.591410845,-0.561600225,48.5,2.13,0.310916641
LR087,B1,M,4,75,S,4,0.028046567,0.00078661,0.003294627,1.09E-05,-0.511015199,-0.509402633,-0.944525883,-0.75723867,42,0.84,-0.191598729
LR088,B1,F,2,50,S,4,0.024029776,0.00057743,0.00526791,2.78E-05,-0.644507177,-0.632026576,-0.624696251,-0.573246412,53.5,2.18,0.042304279
LR089,B1,F,5,50,L,4,0.02184,0.000476986,0.01344,0.000180634,-0.7558659,-0.686930948,0.413748806,0.062444075,52,2.19,0.131459063
LR090,B1,F,5,100,L,4,0.04368,0.001907942,0.02688,0.000722534,0.354784005,0.095253559,2.121598519,2.316397222,55,2.26,-0.003895033
LR091,B1,F,2,100,L,4,0.050449254,0.002545127,0.011059701,0.000122317,0.699027197,0.443549548,0.111279091,-0.180116887,53,2.33,0.136773979
LR092,B1,F,3,50,L,4,0.030728955,0.000944269,0.012208209,0.00014904,-0.303827575,-0.431506236,0.257222473,-0.068966509,NA,NA,NA
LR093,B2,M,1,100,L,4,0.063470149,0.00402846,0.00620597,3.85E-05,1.014030936,0.717461211,-0.57808881,-0.633437013,51,1.82,0.004145932
LR094,B2,F,1,75,L,4,0.027201493,0.000739921,0.002659701,7.07E-06,-0.483212892,-0.543206274,-0.95612698,-0.659469791,53,1.99,-0.02095965
LR095,B2,M,4,50,L,4,0.025023881,0.000626195,0.002939552,8.64E-06,-0.64114703,-0.570110983,-0.989217506,-0.767376052,50,1.66,-0.028977379
LR096,B2,F,3,50,L,4,0.030728955,0.000944269,0.012208209,0.00014904,-0.303827575,-0.431506236,0.257222473,-0.068966509,57.5,2.29,-0.122913349
LR097,B2,F,2,75,L,4,0.037571418,0.001411611,0.008236567,6.78E-05,0.044138583,-0.176049275,-0.24746262,-0.40687231,55,2.21,-0.026267331
LR098,B2,M,1,75,S,4,0.020149254,0.000405992,0.001970149,3.88E-06,-0.851008107,-0.653445837,-1.11123171,-0.788727353,NA,NA,NA
LR099,B2,M,4,75,L,4,0.037312836,0.001392248,0.004383134,1.92E-05,-0.11208638,-0.280201601,-0.807520618,-0.720008462,45,1.4,0.114033126
LR100,B2,F,3,50,L,4,0.030728955,0.000944269,0.012208209,0.00014904,-0.303827575,-0.431506236,0.257222473,-0.068966509,51,1.79,-0.012474949
LR101,B3,F,4,50,L,4,0.025023881,0.000626195,0.002939552,8.64E-06,-0.593953028,-0.60537081,-0.920565711,-0.652939607,51,2.07,0.132858038
LR102,B3,M,4,100,S,4,0.037659701,0.001418253,0.004423881,1.96E-05,-0.097153245,-0.270360123,-0.802391985,-0.718214235,51.5,1.91,0.02339654
LR103,B3,F,4,75,S,4,0.023933731,0.000572823,0.002811493,7.90E-06,-0.649391443,-0.634544839,-0.936838444,-0.656017528,NA,NA,NA
LR104,B3,F,2,75,L,4,0.037571418,0.001411611,0.008236567,6.78E-05,0.044138583,-0.176049275,-0.24746262,-0.40687231,56.5,2.14,-0.13848028
LR105,B3,F,2,75,L,4,0.037571418,0.001411611,0.008236567,6.78E-05,0.044138583,-0.176049275,-0.24746262,-0.40687231,48.5,1.53,-0.019937603
LR106,B3,M,4,75,S,4,0.028046567,0.00078661,0.003294627,1.09E-05,-0.511015199,-0.509402633,-0.944525883,-0.75723867,42,0.93,-0.089816035
LR107,B3,F,5,75,L,4,0.032597015,0.001062565,0.020059701,0.000402392,-0.208829376,-0.366843662,1.254928453,0.984813778,51.5,1.85,-0.008521063
LR108,B3,F,2,100,L,4,0.050449254,0.002545127,0.011059701,0.000122317,0.699027197,0.443549548,0.111279091,-0.180116887,54,2.15,0.00078072
LR109,C1,M,5,50,S,4,0.014750149,0.000217567,0.009077015,8.24E-05,-1.083448864,-0.724754448,-0.216723857,-0.436520608,51.5,2.01,0.07442802
LR110,C1,F,2,100,S,4,0.048059552,0.002309721,0.010535821,0.000111004,0.577501451,0.314872687,0.044708532,-0.227171643,52,2.35,0.201972847
LR111,C1,M,3,75,S,4,0.045823881,0.002099828,0.018205224,0.00033143,0.254328746,-0.012421069,0.932200948,0.680520216,53,2.39,0.162199077
LR112,C1,F,1,100,S,4,0.027,0.000729,0.00264,6.97E-06,-0.493459604,-0.549175876,-0.958630428,-0.659885726,51.5,2.03,0.084329091
LR113,C1,M,1,100,S,4,0.027,0.000729,0.00264,6.97E-06,-0.556071709,-0.531204883,-1.02692071,-0.77486695,50.5,1.58,-0.107963712
LR114,C1,F,4,75,L,4,0.037312836,0.001392248,0.004383134,1.92E-05,0.030988671,-0.186633415,-0.737126641,-0.609016844,56,2.75,0.138751688
LR115,C1,F,2,50,L,4,0.025224627,0.000636282,0.005529851,3.06E-05,-0.583744304,-0.599857087,-0.591410845,-0.561600225,49.5,1.74,0.047981137
