FID,Family,Shelf_stack,Diet,Level,Size,Trial,Days_breeding,P_day,P2_day,L_day,L2_day,Mean_react,Total_ZZ,Total_lead,Total_court
LR206,F118,D2,1,100,L,9,196,0.0675,0.00455625,0.0066,4.36E-05,185.5555556,14,8,640
LR208,F121,D2,2,75,L,7,170,0.081781676,0.006688243,0.017928529,0.000321432,7.714285714,65,30,1605
LR209,F121,D3,5,50,L,5,163,0.02184,0.000476986,0.01344,0.000180634,70,7,4,739
LR210,F121,D3,5,50,S,6,174,0.01638,0.000268304,0.01008,0.000101606,84.66666667,2,2,836
LR211,F121,D3,5,100,L,2,175,0.04368,0.001907942,0.02688,0.000722534,9,1,0,230
LR214,F121,D3,2,100,S,4,147,0.092459592,0.008548776,0.020269388,0.000410848,152.75,0,0,93
LR218,F121,E1,2,75,L,2,188,0.08289383,0.006871387,0.01817234,0.000330234,300,0,0,0
LR221,F121,E1,1,75,S,2,148,0.024902027,0.000620111,0.002434865,5.93E-06,211,0,0,52
LR224,F121,E1,1,100,L,2,132,0.0675,0.00455625,0.0066,4.36E-05,54.5,0,0,195
LR226,F121,E2,2,100,S,2,153,0.093019608,0.008652647,0.020392157,0.00041584,152,0,0,65
LR227,F121,E2,4,50,S,2,185,0.02656,0.000705434,0.00312,9.73E-06,300,0,0,0
LR230,F122,E2,5,75,L,5,170,0.03276,0.001073218,0.02016,0.000406426,189.6,0,0,55
LR235,F122,E3,3,100,L,1,99,0.07224,0.005218618,0.0287,0.00082369,300,0,0,0
LR238,F122,E3,2,50,S,2,161,0.046850683,0.002194987,0.010270807,0.000105489,300,0,0,0
LR244,F121,E1,2,100,L,4,147,0.10674,0.011393428,0.0234,0.00054756,78.5,20,6,853
LR246,F121,E1,5,50,S,2,147,0.01638,0.000268304,0.01008,0.000101606,300,0,0,0
LR247,F121,E1,5,75,S,7,181,0.024524751,0.000601463,0.015092155,0.000227773,61.71428571,13,8,1058
LR248,F121,E1,1,100,L,7,170,0.0675,0.00455625,0.0066,4.36E-05,160.1428571,0,0,283
LR249,F122,E2,3,75,L,3,163,0.054069202,0.002923479,0.021480982,0.000461433,200,0,0,0
LR257,F122,E3,5,75,L,1,90,0.03276,0.001073218,0.02016,0.000406426,12,0,0,288
LR258,F122,E3,5,100,S,7,160,0.03276,0.001073218,0.02016,0.000406426,186.5714286,0,0,376
LR259,F122,E3,3,100,L,6,146,0.07224,0.005218618,0.0287,0.00082369,241,5,4,354
LR264,F122,E3,5,100,L,3,211,0.04368,0.001907942,0.02688,0.000722534,101.3333333,0,0,177
LR265,F122,F1,5,50,L,2,119,0.02184,0.000476986,0.01344,0.000180634,300,0,0,0
LR268,F122,F1,3,50,L,7,153,0.03612,0.001304654,0.01435,0.000205923,208.2857143,0,0,111
LR269,F122,F1,3,50,S,6,163,0.03612,0.001304654,0.01435,0.000205923,124.3566667,2,1,539
LR273,F122,F2,5,75,S,1,119,0.024501176,0.000600308,0.015077647,0.000227335,12,0,0,49
LR276,F122,F2,5,50,S,4,148,0.01638,0.000268304,0.01008,0.000101606,169.25,3,0,407
LR277,F122,F2,2,75,S,8,146,0.069271336,0.004798518,0.015185959,0.000230613,210.625,3,0,539
LR279,F128,F2,4,75,L,5,92,0.04482,0.002008832,0.005265,2.77E-05,76,15,4,707
LR283,F128,F3,4,50,L,3,121,0.02988,0.000892814,0.00351,1.23E-05,88,5,1,235
LR284,F128,F3,1,100,L,4,119,0.0675,0.00455625,0.0066,4.36E-05,252.75,2,1,98
LR285,F128,F3,3,75,L,7,147,0.054057143,0.002922175,0.02147619,0.000461227,42.85714286,12,5,1176
LR294,F122,F1,1,75,L,1,170,0.050625,0.002562891,0.00495,2.45E-05,22,1,0,278
LR299,F128,F2,5,100,S,8,128,0.03276,0.001073218,0.02016,0.000406426,99.875,16,8,963
LR300,F128,F2,1,50,L,5,92,0.03375,0.001139063,0.0033,0.00001089,144.6,0,0,563
LR302,F128,F2,5,75,L,7,119,0.032668235,0.001067214,0.020103529,0.000404152,73.57142857,12,6,1021
