FID,Family,Stack_shelf,Diet,Level,Size,P_day,P2_day,L_day,L2_day,Days_breeding,Number_clutches,mean_number,Total_egg
LR242,F121,E1,4,75,S,0.037431373,0.001401108,0.004397059,1.93E-05,131,10,84,840
LR245,F121,E1,1,100,S,0.031256757,0.000976985,0.003056216,9.34E-06,95,8,53.16666667,319
LR250,F122,E2,3,100,L,0.07224,0.005218618,0.0287,0.00082369,31,3,114.6666667,344
LR252,F122,E2,2,75,L,0.056771029,0.00322295,0.012445588,0.000154893,86,9,123.75,990
LR253,F122,E2,1,75,S,0.024955986,0.000622801,0.002440141,5.95E-06,85,9,95.33333333,858
LR254,F122,E2,5,75,S,0.018704903,0.000349873,0.01151071,0.000132496,126,14,116.8571429,1636
LR256,F122,E2,4,100,L,0.063823284,0.004073412,0.007497313,5.62E-05,91,8,97.75,782
LR193,F118,E3,1,75,S,0.025592025,0.000654952,0.002502331,6.26E-06,121,18,88,1584
LR194,F118,E3,5,50,L,0.02184,0.000476986,0.01344,0.000180634,100,11,129.9090909,1429
LR195,F118,E3,3,75,S,0.054058792,0.002922353,0.021476846,0.000461255,113,13,111.7692308,1453
LR196,F118,E3,3,50,L,0.038941875,0.00151647,0.015471094,0.000239355,84,11,107.3636364,1181
LR197,F118,E3,1,50,L,0.02547,0.000648721,0.0024904,6.20E-06,64,6,97,582
LR513,F129,F1,5,100,S,0.02529913,0.000640046,0.015568696,0.000242384,120,16,103.7857143,1453
LR514,F129,F1,3,50,S,0.03612,0.001304654,0.01435,0.000205923,87,9,82.5,495
LR519,F129,F1,4,50,S,0.02393056,0.000572672,0.00281112,7.90E-06,60,5,64.4,322
LR520,F129,F1,1,75,S,0.025345161,0.000642377,0.002478194,6.14E-06,138,10,78.88888889,710
LR525,F129,F1,5,75,L,0.03276,0.001073218,0.02016,0.000406426,79,5,120.25,481
LR526,F129,F2,2,50,L,0.04016914,0.00161356,0.008806051,7.75E-05,133,11,115.3636364,1269
LR527,F129,F2,3,50,S,0.03612,0.001304654,0.01435,0.000205923,106,14,104.9285714,1469
LR528,F129,F2,5,75,S,0.018992761,0.000360725,0.011687853,0.000136606,112,5,93.5,374
LR278,F122,F2,2,100,S,0.061070149,0.003729563,0.01338806,0.00017924,130,9,116.7777778,1051
LR282,F128,F3,1,75,L,0.038790584,0.001504709,0.003792857,1.44E-05,150,19,120.9473684,2298
LR286,F128,F3,3,75,L,0.05418,0.002935472,0.021525,0.000463326,11,2,189,378
LR288,F128,F3,5,50,S,0.01092,0.000119246,0.00672,4.52E-05,76,9,107.875,863
LR289,F112,F1,4,100,L,0.061500583,0.003782322,0.007224466,5.22E-05,88,10,134.6,1346
LR290,F122,F1,4,100,S,0.049358881,0.002436299,0.005798182,3.36E-05,144,8,86.57142857,606
LR291,F122,F1,3,50,S,0.03612,0.001304654,0.01435,0.000205923,127,9,154.875,1239
LR292,F122,F1,4,75,L,0.046930169,0.002202441,0.005512881,3.04E-05,118,5,102.75,411
LR293,F122,F1,2,100,L,0.078784286,0.006206964,0.017271429,0.000298302,107,16,154.8461538,2013
LR294,F122,F1,1,75,L,0.040619822,0.00164997,0.003971716,1.58E-05,171,13,144.0909091,1585
LR295,F122,F1,5,75,L,0.032689548,0.001068607,0.020116645,0.000404679,120,7,116.3333333,349
LR296,F122,F1,5,75,S,0.0170625,0.000291129,0.0105,0.00011025,93,9,116.8888889,1052
LR297,F128,F2,3,50,S,0.03612,0.001304654,0.01435,0.000205923,162,15,123.8571429,1734
LR298,F128,F2,2,75,L,0.059670625,0.003560583,0.01308125,0.000171119,122,18,139.9444444,2519
LR306,F128,F3,5,75,S,0.01638,0.000268304,0.01008,0.000101606,74,8,139.75,1118
LR307,F128,F3,1,50,S,0.014792553,0.00021882,0.001446383,2.09E-06,102,8,118.4285714,829
LR309,F132,F3,1,50,L,0.0232875,0.000542308,0.002277,5.18E-06,130,13,97.84615385,1272
LR313,F143,G1,1,75,S,0.024545455,0.000602479,0.0024,5.76E-06,101,10,68.2,682
LR316,F143,G1,1,50,S,0.016363636,0.000267769,0.0016,2.56E-06,55,7,84.5,507
LR317,F132,G1,5,50,L,0.02184,0.000476986,0.01344,0.000180634,99,10,137.6666667,1239
LR320,F132,G1,1,100,S,0.027,0.000729,0.00264,6.97E-06,21,2,84,168
LR561,F133,G2,5,50,S,0.012376,0.000153165,0.007616,5.80E-05,142,10,107.6,1076
LR562,F133,G2,3,75,S,0.05418,0.002935472,0.021525,0.000463326,38,3,51,102
LR563,F133,G2,1,100,S,0.033837662,0.001144987,0.003308571,1.09E-05,133,12,97.2,972
LR565,F133,G2,2,75,S,0.04718689,0.002226603,0.010344512,0.000107009,157,12,111.5,892
LR566,F133,G2,3,100,S,0.07224,0.005218618,0.0287,0.00082369,113,10,139,1251
LR568,F133,G2,1,100,S,0.032785714,0.001074903,0.003205714,1.03E-05,96,10,125.9,1259
LR121,F138,G1,1,100,L,0.051529412,0.00265528,0.005038431,2.54E-05,155,18,137,2466
LR122,F138,G1,4,100,L,0.065072,0.004234365,0.007644,5.84E-05,135,9,79.33333333,714
LR125,F138,G1,2,50,L,0.039152008,0.00153288,0.008583071,7.37E-05,91,11,122.1,1221
LR127,F138,G1,4,50,S,0.025082065,0.00062911,0.002946387,8.68E-06,127,9,81,729
LR346,F132,G2,2,50,L,0.03558,0.001265936,0.0078,6.08E-05,57,5,122,610
LR349,F132,G2,4,100,S,0.048660299,0.002367825,0.005716119,3.27E-05,154,21,90.52631579,1720
LR354,F132,G3,1,100,L,0.043941176,0.001930827,0.004296471,1.85E-05,80,6,133.6,668
LR355,F135,G3,2,50,L,0.039314542,0.001545633,0.008618702,7.43E-05,80,10,100.1,1001
LR356,F135,G3,4,50,L,0.03157984,0.000997286,0.00370968,1.38E-05,87,7,93.42857143,654
LR357,F135,G3,5,100,L,0.04368,0.001907942,0.02688,0.000722534,88,3,162.3333333,487
LR362,F128,H1,4,100,L,0.065123077,0.004241015,0.00765,5.85E-05,164,12,117.6363636,1294
LR364,F128,H1,3,100,L,0.07224,0.005218618,0.0287,0.00082369,79,10,128.2,1282
LR365,F128,H1,5,75,L,0.03276,0.001073218,0.02016,0.000406426,131,16,139.0666667,2086
LR369,F129,H2,1,50,L,0.024380597,0.000594414,0.002383881,5.68E-06,121,14,128.2142857,1795
LR370,F129,H2,2,100,S,0.0593,0.00351649,0.013,0.000169,109,15,142.9285714,2001
LR371,F129,H2,1,75,L,0.031895604,0.00101733,0.003118681,9.73E-06,50,8,100.875,807
LR382,F135,H3,1,75,L,0.031288235,0.000978954,0.003059294,9.36E-06,63,6,96.33333333,578
LR388,F128,H1,5,100,S,0.02496,0.000623002,0.01536,0.00023593,162,19,102.5263158,1948
LR389,F128,H1,5,100,L,0.04368,0.001907942,0.02688,0.000722534,55,7,76.5,459
LR029,F120,H2,4,50,L,0.031841818,0.001013901,0.003740455,1.40E-05,108,8,78.625,629
LR030,F120,H2,3,50,L,0.03612,0.001304654,0.01435,0.000205923,32,2,187,374
LR407,F135,H3,4,100,S,0.04814,0.00231746,0.005655,3.20E-05,78,7,74.5,298
LR409,F127,I1,1,100,L,0.0405,0.00164025,0.00396,1.57E-05,38,4,119.25,477
LR410,F127,I1,2,75,L,0.060453056,0.003654572,0.013252778,0.000175636,151,14,101.3846154,1318
LR411,F127,I1,1,75,L,0.033506757,0.001122703,0.003276216,1.07E-05,109,9,81.14285714,568
LR414,F127,I1,3,100,L,0.073464407,0.005397019,0.029186441,0.000851848,98,11,176.8181818,1945
LR417,F117,I2,2,100,L,0.076658727,0.00587656,0.016805455,0.000282423,106,8,111.4285714,780
LR418,F117,I2,5,100,L,0.04368,0.001907942,0.02688,0.000722534,130,12,82.09090909,903
LR419,F117,I2,3,100,S,0.07224,0.005218618,0.0287,0.00082369,67,6,72,432
LR428,F127,I3,4,50,L,0.032319184,0.00104453,0.003796531,1.44E-05,120,9,75.75,606
LR431,F127,I3,3,100,L,0.07525,0.005662563,0.029895833,0.000893761,133,12,123.5454545,1359
LR433,F127,I1,3,75,L,0.058472037,0.003418979,0.02323017,0.000539641,155,7,108.1428571,757
LR434,F127,I1,3,75,L,0.058356375,0.003405467,0.023184219,0.000537508,119,11,186.6,1866
LR435,F127,I1,1,50,L,0.024017442,0.000576838,0.002348372,5.51E-06,107,3,110.3333333,331
LR436,F127,I1,4,100,S,0.044518182,0.001981869,0.005229545,2.73E-05,47,3,86,258
LR437,F127,I1,3,50,L,0.038392857,0.001474011,0.015252976,0.000232653,140,10,116.25,930
LR443,F117,I2,3,50,L,0.038105319,0.001452015,0.015138741,0.000229181,138,14,96.09090909,1057
LR444,F117,I2,1,50,S,0.0135,0.00018225,0.00132,1.74E-06,0,1,90,90
LR446,F112,I2,4,50,L,0.02988,0.000892814,0.00351,1.23E-05,0,1,145,145
LR447,F117,I2,4,75,L,0.048763822,0.00237791,0.00572828,3.28E-05,145,11,78.88888889,710
LR448,F117,I2,3,50,L,0.038528,0.001484407,0.015306667,0.000234294,116,13,109.4166667,1313
LR449,F115,I3,1,50,L,0.025150685,0.000632557,0.002459178,6.05E-06,134,12,136.6,1366
LR450,F115,I3,4,50,S,0.022955429,0.000526952,0.002696571,7.27E-06,55,4,78.5,314
LR451,F115,I3,1,50,L,0.02586039,0.00066876,0.002528571,6.39E-06,128,8,96.125,769
LR457,F127,J1,4,100,L,0.064967843,0.004220821,0.007631765,5.82E-05,161,7,96,672
LR458,F127,J1,3,50,S,0.03612,0.001304654,0.01435,0.000205923,130,10,144.3333333,1299
LR461,F127,J1,4,100,S,0.048576842,0.00235971,0.005706316,3.26E-05,123,11,96.72727273,1064
LR466,F115,J2,5,100,L,0.04368,0.001907942,0.02688,0.000722534,117,13,114.5454545,1260
LR467,F115,J2,4,50,L,0.030231529,0.000913945,0.003551294,1.26E-05,75,4,80.25,321
LR469,F115,J2,4,50,S,0.023977778,0.000574934,0.002816667,7.93E-06,122,7,70.66666667,424
LR470,F115,J2,4,75,S,0.037619618,0.001415236,0.004419172,1.95E-05,142,10,87.8,878
LR474,F115,J3,3,50,L,0.038615132,0.001491128,0.015341283,0.000235355,144,14,126.6153846,1646
LR476,F115,J3,3,75,S,0.05404,0.002920322,0.02146938,0.000460934,126,11,116.7,1167
LR482,F127,J1,3,75,L,0.056194385,0.003157809,0.022325288,0.000498419,141,11,113.1818182,1245
LR484,F127,J1,2,75,S,0.047110556,0.002219404,0.010327778,0.000106663,144,15,114.1428571,1598
LR488,F127,J1,4,100,S,0.049777718,0.002477821,0.005847383,3.42E-05,153,10,99.66666667,897
LR490,F115,J2,2,100,L,0.079223094,0.006276299,0.017367626,0.000301634,113,8,85.33333333,512
